codigo,texto,departamento
00,Otro (Para extranjeros),00
13,AHUACHAPAN NORTE,01
14,AHUACHAPAN CENTRO,01
15,AHUACHAPAN SUR,01
14,SANTA ANA NORTE,02
15,SANTA ANA CENTRO,02
16,SANTA ANA ESTE,02
17,SANTA ANA OESTE,02
17,SONSONATE NORTE,03
18,SONSONATE CENTRO,03
19,SONSONATE ESTE,03
20,SONSONATE OESTE,03
34,CHALATENANGO NORTE,04
35,CHALATENANGO CENTRO,04
36,CHALATENANGO SUR,04
23,LA LIBERTAD NORTE,05
24,LA LIBERTAD CENTRO,05
25,LA LIBERTAD OESTE,05
26,LA LIBERTAD ESTE,05
27,LA LIBERTAD COSTA,05
28,LA LIBERTAD SUR,05
20,SAN SALVADOR NORTE,06
21,SAN SALVADOR OESTE,06
22,SAN SALVADOR ESTE,06
23,SAN SALVADOR CENTRO,06
24,SAN SALVADOR SUR,06
17,CUSCATLAN NORTE,07
18,CUSCATLAN SUR,07
23,LA PAZ OESTE,08
24,LA PAZ CENTRO,08
25,LA PAZ ESTE,08
10,CABANAS OESTE,09
11,CABANAS ESTE,09
14,SAN VICENTE NORTE,10
15,SAN VICENTE SUR,10
24,USULUTAN NORTE,11
25,USULUTAN ESTE,11
26,USULUTAN OESTE,11
21,SAN MIGUEL NORTE,12
22,SAN MIGUEL CENTRO,12
23,SAN MIGUEL OESTE,12
27,MORAZAN NORTE,13
28,MORAZAN SUR,13
19,LA UNION NORTE,14
20,LA UNION SUR,14
